ID карточки    ;Наименование    ;№ в реестре    ;Дата обнаружения    ;Вид объекта    ;Категория земель    ;Муниципальное образование    ;Местоположение    ;Долгота    ;Широта    ;Тип отходов    ;Площадь, га    ;Объем, м3    ;Отметка о ликвидации    ;Дата ликвидации    ;Примечание    ;Прикреплённые файлы    
657;Захламление (06.05.2024) (9-657) (через дорогу от строения № 59 п. Сентябрьский);9-657;06.05.2024;Захламление;Земли населенных пунктов;Нефтеюганский район;через дорогу от строения № 59 п. Сентябрьский;72.212890625;60.494167327880859;ТКО, промышленные отходы;0.0050000000000000001;4;нет;;;
728;Захламление (17.05.2024) (9-728) (с.п. СалымКП №26 ул. Привокзальная);9-728;17.05.2024;Захламление;Земли населенных пунктов;Нефтеюганский район;с.п. СалымКП №26 ул. Привокзальная ;71.4619140625;60.060028076171875;за пределами КП расположен контейнерный бак. Согласно информационному щиту, данный бак является лишним. Переполненный контейнер для КГО. Бытовые отходы, растительные отходы, отходы строительные;;10;да;29.07.2024;"ЛИКВИДИРОВАНА 29.07.2024
Выезд вне 248 -ФЗ от 29.07.2024 №2140825-9-90 ""
";
617;Захламление (24.10.2018) (5) (Нижневартовский район, с.п. Покур);5;24.10.2018;Захламление;Земли запаса;Нижневартовский район;Нижневартовский район, с.п. Покур;75.482498168945312;61.011444091796875;металлолом, остатки катеров, металлической баржи;;;нет;;Представление Прокуратуры Нижневартовского района №07-05-2023 от 22.08.2023 ;
390;Свалка по ПП РФ № 542 (26.02.2024) (9) (50 метров от ПВН п.Хулимсунт);9;26.02.2024;Свалка по ПП РФ № 542;Земли лесного фонда;Березовский район;50 метров от ПВН п.Хулимсунт;61.646137237548828;62.89141845703125;ТКО;0.089999999999999997;20;да;29.07.2024;"Хуранское участковое лесничество, урочище Акрышское, квартал 3, выдел 17.
Материалы переданы в Прокуратуру Березовского района 29.02.2024 г. № 31.8-исх-60. Географические координаты: N62°53′29,1″ Е61°38′46,1″ ";СЗ-25 30.07.24 Ликвидация Хулимсунт ПС и НС.pdf
802;Захламление (06.06.2024) (9-802) (п. Мулымья, возле опоры №85\14 и 86\14);9-802;06.06.2024;Захламление;Земли населенных пунктов;Кондинский район;п. Мулымья, возле опоры №85\14 и 86\14;64.567611694335938;60.188362121582031;бытовой и строительный мусор;1300;5;нет;;;
856;Захламление (21.05.2024) (9-856) (СОТ «Нефтяник-2»);9-856;21.05.2024;Захламление;Земли населенных пунктов;г.Урай;СОТ «Нефтяник-2»;60.091388702392578;64.664085388183594;Строительный мусор;0.0040000000000000001;8;нет;;"N60° 05' 29.0"" E64° 39' 50.7""
";
379;Захламление (14.12.2023) (9-379) (п.Белогорье);9-379;14.12.2023;Захламление;Земли населенных пунктов;Ханты-Мансийский район;п.Белогорье;68.620414733886719;61.049209594726562;ТБО;>10м2;;нет;;;"В район о свалках от РПН.pdf
список свалок от РПН.pdf
Фототаблица к протоколу осмотра № 2 от 03.08.2023 Белогорье.pdf
ПУСТАЯ ФОРМА Фототаблицы1111111.docx"
538;Захламление (12.09.2023) (2 -реестр2) (г. Советский, ул. Советская, д.33);2 -реестр2;12.09.2023;Захламление;Земли населенных пунктов;Советский район;г. Советский, ул. Советская, д.33 ;63.570549011230469;61.359611511230469;строительный мусор , ТКО ;0.00089999999999999998;3;да;21.06.2024;Отчет №2102642-5-50 О ПРОВЕДЕНИИ ОСМОТРА ТЕРРИТОРИИ  от 12.09.23 во исполнение поручения №195/2023-Э (№31-02-9184 от 11.09.2023)  проведен осмотр территории, указанной в обращении   Зуева В.И.;акт за 21.06.2024 Советский.pdf
418;Свалка по ПП РФ № 542 (17.04.2023) (815) (г.п. Пионерский, ул. Заводская, д.7);815;17.04.2023;Свалка по ПП РФ № 542;Земли населенных пунктов;Советский район;г.п. Пионерский, ул. Заводская, д.7;62.872600555419922;61.203144073486328;строительные отходы, твердые коммунальные отходы;0.01;40;да;04.06.2024;Отчёт № 2087576-5-50 от 17.04.2023 осмотра территории по поручению   № 37/2023-Э, исх. № 31-02-3327 от 13.04.2023 , согласно обращения  Такунцева Д.А. (КО № 01-ОГ-2991 от 10.04.2023) ,  В адрес администрации п. Пионерский направлено извещение  31.05-Исх-448  20.04.2023 Срок по извещению продлен до 01.09.23.          12.09.2023 направлены материалы в Югорскую межрайонную прокуратуру для принятия мер прокурорского реагирования. МНРО ликвидировано согласно отчета № 2132813-5-50 от 04.06.2024;Справка о выезде в качестве специалиста 04.06. 2024 2132813-5-50.docx
512;Свалка по ПП РФ № 542 (09.06.2017) (44) (с.п. Алябьевский, ул. Северная, д. 26);44;09.06.2017;Свалка по ПП РФ № 542;Земли населенных пунктов;Советский район;с.п. Алябьевский, ул. Северная, д. 26;62.762939453125;61.219020843505859;полуразрушенный дом, строительный мусор;0.10000000000000001;30;да;09.09.2024;Проведен осмотр территории с.п. Алябьевский на предмет наличия  свалок 09.06.2017. В  администрацию с.п. Алябьевский направлено письмо о внесении свалки план ликвидации МНРО. Акт осмотратерритории г.п. Зеленоборск от 09.06.2017 №05-225/2017 направлен в ЮМП. Согласно письма администрации с.п. Алябьевский от 08.12.2017 №1298  это обгорелое жилое строение где проживают соседи. Денежные средства на ликвидацию отсутсвуют. Согласно выписке из ЕГРН на 11.07.23 з/у в собственности.;"акт 05-225-2017.pdf
акт за 09.09.2024 по  свалкм.pdf"
644;Захламление (06.06.2024) (9-644) (ул. Сургутская, здание  бывшего ООО Новые технологии);9-644;06.06.2024;Захламление;Земли населенных пунктов;г.Нефтеюганск;ул. Сургутская, здание  бывшего ООО Новые технологии;72.589981079101562;61.097118377685547;бытовые отходы;0.002;менее 1м3;да;29.07.2024;п. 7 извещения;№ 981 от 14.06.2024 Извещение администрация города.pdf
724;Захламление (06.06.2024) (9-724) (вдоль грунтовой  дороги   от куста № 24 до  СНТ «Северная Нива»);9-724;06.06.2024;Захламление;Земли населенных пунктов;г.Нефтеюганск;вдоль грунтовой  дороги   от куста № 24 до  СНТ «Северная Нива»;72.6661376953125;61.109165191650391;пластиковые и стеклянные бутылки, полиэтиленовые пакеты с бытовым мусором и т.д.;0.002;2;да;25.07.2024;;
488;Свалка по ПП РФ № 542 (16.08.2017) (4,184,187,188,189) (Советский ТО - лесничество, Торское у.л., Акрышское урочище, квартал 616, выдела 33, 34);4184187188189;16.08.2017;Свалка по ПП РФ № 542;Земли лесного фонда;Советский район;Советский ТО - лесничество, Торское у.л., Акрышское урочище, квартал 616, выдела 33, 34;63.042980194091797;61.910320281982422;Отходы лесопиления;0.029999999999999999;100;нет;;"Произведен осмотр территории г.п. Агириш 16.08.2017  акт № 05-309/2017.  Службой 05.09.2022 № 31-02-6992 направлено исковое заявление в Югорскую межрайпрокуратуру  о понуждении Депнедра к ликвидации МНРО на землях лесного фонда. 18.03.2021 ЮМП внесено представление Депнедрам об устранении нарушений закона. В октябре по поручению № 212/2022 -Э от 04.10.2022 совершен повторный выезд. Отчет  от 13.10.22 № 2069437-5-50.  Данное МНРО в апреле 2024 года объединено с МНРО № 4. Исполнительное производство                             
№ 37807/12/16/86-ИП от 23.11.2012 - 10.04.2024 ИД передан для исполнения  в ОВИП г. Сургута.";"Предписание № 05-309-4-2017 от 06.09.2017.pdf
Постановление о принятии ИП к исполнению по делу № 2-629-2012 от 27.04.2024.pdf
Решение Советского районного суда по делу № 2-629-2012 от 02.10.2012.pdf"
443;"Захламление (05.09.2023) (9-443) (№10 за зданием ООО ""Нефтедорстрой"" промбаза)";9-443;05.09.2023;Захламление;Земли населенных пунктов;г.Урай;"№10 за зданием ООО ""Нефтедорстрой"" промбаза";64.726028442382812;60.137138366699219;ТКО;0.00050000000000000001;1;нет;;;
624;Захламление (29.05.2020) (9) (КН 86:04:0000001:31508);9;29.05.2020;Захламление;Земли сельскохозяйственного назначения;Нижневартовский район;КН 86:04:0000001:31508;76.071830749511719;61.097930908203125;бой и лом железобетонных изделий, автопокрышки;0.050000000000000003;0;да;07.11.2024;;"Рапорт от 30.10.2024.pdf
Фототаблица к рапорту от 30.10.2024  - Бабешко, Извещение 2537.pdf"
